doi,titulo,ano,autores,periodico,citacoes,subjects
10.1007/978-3-031-27961-4_3,Applications of XAI for Decision Making in the Manufacturing Domain,2023.0,Chen,SpringerBriefs in Applied Sciences and Technology,18,
10.4018/979-8-3693-7452-8.ch009,"Accountability, Trust, and Transparency in AI Systems From the Perspective of Public Policy",2024.0,Agrawal,Advances in Healthcare Information Systems and Administration,18,
10.1016/j.procs.2021.08.215,Automated decision-making in public administration,2021.0,Monarcha-Matlak,Procedia Computer Science,17,
10.3390/make6030071,"A Cognitive Load Theory (CLT) Analysis of Machine Learning Explainability, Transparency, Interpretability, and Shared Interpretability",2024.0,Fox; Rey,Machine Learning and Knowledge Extraction,17,
10.33140/amlai.05.03.03,"Ethical AI in Information Technology: Navigating Bias, Privacy, Transparency, and Accountability",2024.0,; Sargiotis,Advances in Machine Learning &amp; Artificial Intelligence,17,
10.1111/padm.12793,What has become of the audit explosion? Analyzing trends in oversight activities in the Canadian government,2022.0,Liston‐Heyes; Juillet,Public Administration,17,
10.3386/w24653,Public Policy in an AI Economy,2018.0,Goolsbee,,16,
10.70937/itej.v2i01.53,Explainable AI In E-Commerce: Enhancing Trust And Transparency In AI-Driven Decisions,2024.0,Sarkar,Innovatech Engineering Journal,16,
10.1332/030557318x15296526490810,"Governance, accountability and the role of public sector boards",2019.0,Schillemans; Bovens,Policy &amp; Politics,16,
10.1177/14614448241251791,User-generated accountability: Public participation in algorithmic governance on YouTube,2024.0,Reynolds; Hallinan,New Media &amp; Society,16,
10.1093/oxfordhb/9780197579329.013.36,Public Opinion toward Artificial Intelligence,2023.0,Zhang,The Oxford Handbook of AI Governance,15,
10.1080/13501763.2019.1599043,Opening up by closing off: how increased transparency triggers informalisation in EU decision-making,2020.0,Coremans,Journal of European Public Policy,14,
10.2139/ssrn.4099657,From Transparency to Justification: Toward Ex Ante Accountability for AI,,Malgieri; Pasquale,SSRN Electronic Journal,14,
10.1017/bpp.2024.7,Transparency and nudging: an overview and methodological critique of empirical investigations,2024.0,Michaelsen,Behavioural Public Policy,14,
10.1016/j.clsr.2020.105490,Exclusivity and paternalism in the public governance of explainable AI,2021.0,Keller; Drake,Computer Law &amp; Security Review,14,
10.1177/1087724x19898699,Transparency and Accountability—The Case of Public Procurement Practices in Switzerland,2021.0,Mabillard; Zumofen,Public Works Management &amp; Policy,13,
10.1109/icnsc58704.2023.10319030,Explainable AI (XAI) for AI-Acceptability: The Coming Age of Digital Management 5.0,2023.0,Gamoura,"2023 IEEE International Conference on Networking, Sensing and Control (ICNSC)",13,
10.1145/3630106.3658541,Beyond Individual Accountability: (Re-)Asserting Democratic Control of AI,2024.0,Bogiatzis-Gibbons,The 2024 ACM Conference on Fairness Accountability and Transparency,13,
10.1609/aimag.v41i1.5204,"Patterns and Antipatterns, Principles, and Pitfalls: Accountability and Transparency in Artificial Intelligence",2020.0,Matthews,AI Magazine,13,
10.1109/icict62343.2024.00093,Explainable AI: The Quest for Transparency in Business and Beyond,2024.0,DeSimone; Leon-Espinosa,2024 7th International Conference on Information and Computer Technologies (ICICT),12,
10.1145/3630106.3658985,Transparency in the Wild: Navigating Transparency in a Deployed AI System to Broaden Need-Finding Approaches,2024.0,Turri; Morrison; Robinson; Abidi; Perer; Forlizzi; Dzombak,"The 2024 ACM Conference on Fairness, Accountability, and Transparency",11,
10.1093/oxfordhb/9780197579329.013.11,Governance via Explainability,2022.0,Danks,The Oxford Handbook of AI Governance,11,
10.1145/3531146.3533076,FAccT-Check on AI regulation: Systematic Evaluation of AI Regulation on the Example of the Legislation on the Use of AI in the Public Sector in the German Federal State of Schleswig-Holstein,2022.0,Simbeck,2022 ACM Conference on Fairness Accountability and Transparency,10,
10.24818/ida-cl/2022.35,eXplainable AI in Credit Risk Management,,Misheva,,9,
10.31389/lseppr.111,Transparency and Explainability for Public Policy,2024.0,Vredenburgh,LSE Public Policy Review,9,
10.1109/icmla58977.2023.00088,Improving Transparency and Explainability of Deep Learning Based IoT Botnet Detection Using Explainable Artificial Intelligence (XAI),2023.0,Kalakoti; Nõmm; Bahsi,2023 International Conference on Machine Learning and Applications (ICMLA),9,
10.1016/j.jaccpubpol.2023.107111,Transparency trade-offs in the operation of national Public Private Partnership units: The case of Ireland’s National Development Finance Agency,2023.0,Sheppard; Beck,Journal of Accounting and Public Policy,9,
10.31389/lseppr.115,AI and Data Science for Public Policy,2024.0,Benoit,LSE Public Policy Review,9,
10.2139/ssrn.3506274,Explainable AI in Credit Risk Management,,Bussmann; Giudici; Marinelli; Papenbrock,SSRN Electronic Journal,9,
10.1145/3630106.3658548,"Regulating AI-Based Remote Biometric Identification. Investigating the Public Demand for Bans, Audits, and Public Database Registrations",2024.0,Kieslich; Lünich,The 2024 ACM Conference on Fairness Accountability and Transparency,9,
10.1016/j.marpol.2017.02.010,Managing deep sea mining revenues for the public good- ensuring transparency and distribution equity,2018.0,Ovesen; Hackett; Burns; Mullins; Roger,Marine Policy,8,
10.1093/scipol/scaa067,A framework for open policy analysis,2021.0,Hoces de la Guardia; Grant; Miguel,Science and Public Policy,8,
10.55927/ajma.v3i4.11878,Budget Transparency and Accountability in Local Government,2024.0,Dian Fathirah; Nirwana; Haliah,Asian Journal of Management Analytics,8,
10.1109/educon60312.2024.10578733,Explainable AI in Learning Analytics: Improving Predictive Models and Advancing Transparency Trust,2024.0,Liu; Khalil,2024 IEEE Global Engineering Education Conference (EDUCON),8,
10.1177/09520767221088269,Problematizing partner selection: Collaborative choices and decision-making uncertainty,2023.0,van der Heijden,Public Policy and Administration,8,
10.1007/978-3-030-66252-3_2474,Rational Model of Decision-Making,2022.0,Uzonwanne,"Global Encyclopedia of Public Administration, Public Policy, and Governance",7,
10.1109/compsac57700.2023.00185,Linking Team-level and Organization-level Governance in Machine Learning Operations through Explainable AI and Responsible AI Connector,2023.0,Neghawi; Wang; Huang; Liu,"2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)",7,
10.1080/0969160x.2022.2136907,Sustainability and Accountability in Public Sector: A Legitimacy Perspective,2023.0,He,Social and Environmental Accountability Journal,7,
10.3390/ijerph18168789,Predicting Risks of Machine Translations of Public Health Resources by Developing Interpretable Machine Learning Classifiers,2021.0,Xie; Ji; Huang; Hao; Chow,International Journal of Environmental Research and Public Health,7,
10.1145/3351095.3373153,Algorithmic accountability in public administration,2020.0,Kang,"Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",6,
10.1007/978-3-030-66252-3_2407,"Leadership, Ethics, and Decision-Making",2022.0,Scholl; Mederer; Scholl,"Global Encyclopedia of Public Administration, Public Policy, and Governance",6,
10.1108/jal-12-2021-0017,Self-regulation versus government oversight: audit fees research,2023.0,Agana; Alon; Zamore,Journal of Accounting Literature,6,
10.1177/01447394221119087,Decision-making skills in the fourth industrial revolution,2023.0,de Vries; Kroukamp,Teaching Public Administration,6,
10.1145/3593013.3593991,Algorithmic Transparency from the South,2023.0,Lapostol Piderit; Garrido Iglesias; Hermosilla Cornejo,2023 ACM Conference on Fairness Accountability and Transparency,6,
10.1145/3531146.3533123,Normative Logics of Algorithmic Accountability,2022.0,Donia,2022 ACM Conference on Fairness Accountability and Transparency,6,
10.1007/978-3-030-53352-6_20,Implementation of a Personal Health Library (PHL) to Support Chronic Disease Self-Management,2021.0,Ammar; Bailey; Davis; Shaban-Nejad,Studies in Computational Intelligence,6,
10.1007/978-3-319-31816-5_3895-1,Transparency and Accountability in the Philippine Local Government,2020.0,Castillo; Gabriel,"Global Encyclopedia of Public Administration, Public Policy, and Governance",6,
10.1007/978-3-030-53352-6_28,Tell Me About Your Day: Designing a Conversational Agent for Time and Stress Management,2021.0,Ferland; Sauve; Lucke; Nie; Khadar; Pakhomov; Gini,Studies in Computational Intelligence,5,
10.31235/osf.io/p4sey,Understanding Accountability in Algorithmic Supply Chains,,Cobbe; Veale; Singh,,5,
10.1007/s11115-022-00616-x,Public Sector Corruption and Accountability in Cost Deviations and Overruns of Public Projects,2023.0,Catalão; Cruz; Sarmento,Public Organization Review,5,
10.4018/978-1-6684-9716-6.ch001,Using Artificial Intelligence to Enhance E-Government Services Delivery Through Data Science and Machine Learning,2023.0,Ogunleye,"Advances in Electronic Government, Digital Divide, and Regional Development",5,
10.4337/9781839107498.00007,Reforming Anglophone public management and governance,2020.0,Halligan,Reforming Public Management and Governance,5,
10.1080/09638180.2022.2145981,Public Audit Oversight and Audit Pricing: Evidence from the EU,2024.0,Florou; Yuan,European Accounting Review,5,
10.4337/9781839108990.00043,AI algorithmic oversight: new frontiers in regulation,2022.0,,Innovation and regulatory agencies,5,
10.21203/rs.3.rs-5277731/v1,From Algorithms to Accountability: The Societal and Ethical Need for Explainable AI,,Chellappan,,5,
10.4324/9781315121727,"Public Sector Accounting, Accountability and Governance",2018.0,,,5,
10.32400/ja.23359.8.1.2019.42-50,INTELLECTUAL CAPITAL IN PUBLIC SECTOR,2019.0,Budiarso,ACCOUNTABILITY,5,
10.1111/faam.12248,Learning accountability in the public sector: The experience of Kerala,2021.0,Arun; Adhikari; Mohan,Financial Accountability &amp; Management,4,
10.1101/2024.01.14.24301299,Towards Clinical Prediction with Transparency: An Explainable AI Approach to Survival Modelling in Residential Aged Care,,Susnjak; Griffin,,4,
10.1007/978-981-15-6366-9_2,Accountability and Sustainability Reporting in the Public Sector. Evidence from Italian Municipalities,2020.0,Roberto; Maglio; Rey,"Approaches to Global Sustainability, Markets, and Governance",4,
10.1145/3630106.3659013,Talking past each other? Navigating discourse on ethical AI: Comparing the discourse on ethical AI policy by Big Tech companies and the European Commission,2024.0,Evers,"The 2024 ACM Conference on Fairness, Accountability, and Transparency",4,
10.55041/ijsrem32027,Enhancing Transparency and Accountability in Predictive Maintenance with Explainable AI,2024.0,"; soni,",INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,4,
10.30636/jbpa.71.261,Public administration meets artificial intelligence:  Towards a meaningful behavioral research agenda on algorithmic decision-making in government,2024.0,Alon-Barkat; Busuioc,Journal of Behavioral Public Administration,4,
10.1111/padm.12764,Legislative influence on administrative decision making in Pennsylvania's Abandoned and Orphan Well Plugging Program,2022.0,Bang; Hollibaugh,Public Administration,4,
10.1108/medar-12-2019-0630,Audit committee oversight of external audit: an examination of structural power and behavioural tactics,2022.0,Sulaiman; Mat Yasin,Meditari Accountancy Research,4,
10.1109/bigdata59044.2023.10386797,Vision Paper: Advancing of AI Explainability for the Use of ChatGPT in Government Agencies – Proposal of A 4-Step Framework,2023.0,Lee; Shankararaman; Ouh,2023 IEEE International Conference on Big Data (BigData),4,
10.1007/979-8-8688-0983-5_12,Human Oversight of AI Systems,2024.0,Sayles,Principles of AI Governance and Model Risk Management,4,
10.2139/ssrn.3433389,The Scope of Audit Committee Oversight and Financial Reporting Reliability: Are Audit Committees Overloaded?,,Ashraf; Choudhary; Jaggi,SSRN Electronic Journal,4,
10.1080/00131911.2018.1538936,Public accountability and workforce diversity in Canadian public education sector,2020.0,Dandala,Educational Review,4,
10.4324/9781003004080-5-7,Managing Well-being Outcomes-based Approach to Public Sector Accountability in New Zealand*,2021.0,Sharma,Public Sector Reform and Performance Management in Developed Economies,4,
10.31235/osf.io/ex93w,Implementing and managing Algorithmic Decision-Making in the public sector,,Rocco,,4,
10.36948/ijfmr.2024.v06i02.14597,"Demystifying Explainable AI: Understanding, Transparency, and Trust",2024.0,-; -; -; -,International Journal For Multidisciplinary Research,3,
10.13165/vpa-24-23-4-01,ARTIFICIAL INTELLIGENCE-BASED DECISION-MAKING IN PUBLIC ADMINISTRATION,2023.0,,Public Policy and Administration,3,
10.52589/ajafr-vxjxfzfq,"Public Sector Audit, Transparency and Good Governance on Financial Accountability of Public Sector Entities in Rivers State, Nigeria",2021.0,E.; J.U.; A.J.,African Journal of Accounting and Financial Research,3,
10.26686/pq.v14i2.5092,Reversing the Degradation of New Zealand’s Environment through Greater Government Transparency and Accountability,2018.0,Petrie,Policy Quarterly,3,
10.7176/ppar/9-7-04,Transparency and Accountability in Local Governance: The Nexus Between Democracy and Public Service Delivery in the Philippines,2019.0,,Public Policy and Administration Research,3,
10.53973/jopa.2024.59.1.a5,Mechanisms of Ensuring Accountability: The Importance of Accountability in Promoting Good Governance in the South African Public Sector,2024.0,Sindelo; Cronje,Journal of Public Administration,3,
10.1002/9781119263203.ch13,Change Management and Communication in Public Sector Organizations,2020.0,Aggerholm; Thomsen,The Handbook of Public Sector Communication,3,
10.1007/978-3-030-95394-2_5,‘Thuma Mina’ as a New Ethic of Public Service Accountability in South Africa,2022.0,Mofuoa,Palgrave Studies of Public Sector Management in Africa,3,
10.1787/0d4976ed-en,Enhancing co-operation between internal and external auditors,2024.0,,OECD Public Governance Policy Papers,3,
10.31235/osf.io/x5dtf,Public Accountability System: Empirical Assessment of Public Sector of Malaysia,,Said; Alam; bin Abd Aziz,,3,
10.69985/rswq7227,Assembling Accountability: Algorithmic Impact Assessment for the Public Interest,2021.0,Moss; Watkins; Singh; Elish; Metcalf,,3,
10.2139/ssrn.3595454,The Costs of Public Audit Oversight: Evidence from the EU,,Florou; Shuai,SSRN Electronic Journal,3,
10.4324/9781003168331-5,Financial accountability and transparency of public sector institutions in the Republic of Serbia,2021.0,Kostić; Bošković,Accountability and the Law,3,
10.1007/979-8-8688-0796-1_12,AI Change Management,2024.0,Sharma,AI and the Boardroom,3,
10.2139/ssrn.3873768,Financial Risk Management and Explainable Trustworthy Responsible AI,,Fritz-Morgenthal; Hein; Papenbrock,SSRN Electronic Journal,3,
10.18662/eljpa/9.1/169,Citizen Participation in the Public Decision-Making Process at the Level of the Local Public Administration,2022.0,Scutariu; Mangelovschi,European Journal of Law and Public Administration,3,
10.1093/oxfordhb/9780197579329.013.26,The Challenge of AI Governance for Public Organizations,2022.0,Bullock; Huang; Kim; Young,The Oxford Handbook of AI Governance,3,
10.1109/icmla55696.2022.00190,Mixture of Decision Trees for Interpretable Machine Learning,2022.0,Brüggenjürgen; Schaaf; Kerschke; Huber,2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),3,
10.1007/979-8-8688-0983-5_21,"Aligning AI Governance, AI Development Lifecycle, and Systems Development Lifecycle Processes",2024.0,Sayles,Principles of AI Governance and Model Risk Management,3,
10.1093/scipol/scac039,Anti-transparency within the EU shift to open science,2022.0,Nelhans; Nolin,Science and Public Policy,3,
10.1177/1087724x231185053,Transparency Meets Efficiency: The Case of Public Procurement in the Czech Republic,2024.0,Bolcha; Vozárová; Fanta,Public Works Management &amp; Policy,3,
10.21275/sr20087120519,The Age of Explainable AI: Improving Trust and Transparency in AI Models,2020.0,Mishra,International Journal of Science and Research (IJSR),2,
10.53973/jopa.2023.58.3.1a3,Unsustainable Decision-Making in Advancing State-Owned Entities: Can Policy Sciences Reverse This?,2023.0,Pooe; Setlhalogile,Journal of Public Administration,2,
10.1007/978-3-030-66252-3_3895,Transparency and Accountability in the Philippine Local Government,2022.0,Castillo; Gabriel,"Global Encyclopedia of Public Administration, Public Policy, and Governance",2,
10.37200/ijpr/v24i2/pr200745,Regional Financial Monitoring Models With Community Participation And Public Policy Transparency As Moderators,2020.0,Tamaela; Pattiasina; Dasinapa; Marani; Duri,International Journal of Psychosocial Rehabilitation,2,
10.1007/978-3-030-58748-2_4,Transparency Tools for Fairness in AI (Luskin),2020.0,Chen; Shahverdi; Anderson; Park; Zhang; Dachman-Soled; Lauter; Wu,Association for Women in Mathematics Series,2,
10.1109/emergin63207.2024.10961081,Building Trust and Transparency in AI: A Review of Explainable AI and its Ethical Implications,2024.0,Bhatia; Mittal; Sabharwal,2024 International Conference on Emerging Technologies and Innovation for Sustainability (EmergIN),2,
10.17323/1999-5431-2019-0-5-62-78,Ethical Decision-Making in Turkish Public Administration and Policy,2019.0,Чигероглу; Кулач,Public Administration Issues,2,
10.4324/9781003282839-2,Understanding public management and governance,2023.0,Bovaird; Loeffler,Public Management and Governance,2,
10.4324/9781003282839-22,Innovation in public governance and management,2023.0,Torfing,Public Management and Governance,2,
10.4018/979-8-3693-5468-1.ch003,AI for Public Health and Population Health Management,2024.0,Rahate; Karayat,Advances in Healthcare Information Systems and Administration,2,
10.53819/81018102t5223,Transparency and Policy Implementation in the Public Sector in Singapore,2023.0,,Journal of Public Policy and Governance,2,
10.4337/9781789906622.00016,Learning and development in the public sector,2021.0,Thunnissen; Sanders,Research Handbook on HRM in the Public Sector,2,
10.1201/9781003518365-10,An explorative study of explainable AI and blockchain integration in public administration,2024.0,Jayanthi; Suresh Kumar; Balashivudu; Purushotham; Jeeva,Applications of Blockchain and Artificial Intelligence in Finance and Governance,2,
10.47604/jppa.2896,Effect of Transparency Initiatives on Public Trust in Government in Kenya,2024.0,Wanjala,Journal of Public Policy and Administration,2,
10.1080/10999922.2018.1463837,Transparency Under Trump: Policy and Prospects,2019.0,Ellington,Public Integrity,2,
10.1007/978-3-031-66489-2_8,The Importance of Ethical Governance in Explainable AI,2024.0,Akhtar; Kumar; Nayyar,"Studies in Systems, Decision and Control",2,
10.2139/ssrn.5012468,Explainable Ai In Data Analytics: Enhancing Transparency And Trust In Complex Machine Learning Models,2024.0,Kanagarla,SSRN Electronic Journal,2,
10.1080/09540962.2023.2267305,Debate: Will AI affect the transparency and accountability of public sector accounting?,2024.0,Cifuentes-Faura,Public Money &amp; Management,2,
10.20899/jpna.243ptf12,"Public Budgeting Best Practices for Cross-sector Collaborations: Emphasizing the Values of Social Equity, Transparency and Accountability, and Ethics",2024.0,Lee,Journal of Public and Nonprofit Affairs,2,
10.5753/sbc.11014.1.3,Explainability e auditability: interpretando e validando modelos de machine learning,2022.0,Silva; Oliveira; Araújo; Vieira; Castro,Minicursos da ERCEMAPI 2022,2,
10.69985/vsxc3079,Algorithmic Accountability: A Primer,2018.0,Caplan; Donovan; Hanson; Matthews,,2,
10.1007/978-3-031-19667-6_6,"Due Process, Fair Trial, Transparency, and Explainability",2023.0,Ebers; Trasberg,"Data Science, Machine Intelligence, and Law",2,
10.1007/978-3-319-20928-9_3311,Comparative Public Governance and Management,2018.0,Ongaro,"Global Encyclopedia of Public Administration, Public Policy, and Governance",2,
10.1163/9789004680944_009,Algorithmic Decision-Making and Public Sector Accountability in Africa –,2023.0,Gottardo,Comparative Legal Metrics,2,
10.1007/978-3-319-20928-9_2474,Rational Model of Decision-Making,2018.0,Uzonwanne,"Global Encyclopedia of Public Administration, Public Policy, and Governance",2,
10.32840/pdu.2020.2.27,THE ESSENCE OF INFORMATION AND ANALYTICAL ACTIVITY IN DECISION MAKING FOR THE STRUCTURE OF BORDER SUBSECTION STRUCTURES,2020.0,Meiko,Law and public administration,2,
10.21275/sr241127154622,"Ethical Implications of AI in Decision - Making: Exploring Bias, Accountability, and Transparency in Autonomous Systems",2024.0,Sandeep Agrawal,International Journal of Science and Research (IJSR),2,
10.2308/ciia-52644,Would an Audit Judgment Rule Improve Audit Committee Oversight and Audit Quality?,2020.0,Kang; Piercey,Current Issues in Auditing,2,
10.63282/3050-9416.ijaibdcms-v4i3p111,AI Governance in Regulated Cloud-Native Insurance Platforms,2023.0,,"International Journal of AI, BigData, Computational and Management Studies",2,
10.2139/ssrn.4509797,Explainable AI and Pricing Algorithms: A Case For Accountability in Pricing,2023.0,sareen,SSRN Electronic Journal,2,
10.31224/4161,[WITHDRAWN] Enhancing Educational Outcomes with Explainable AI: Bridging Transparency and Trust in Learning  Systems,,K Sai Geethanjali; Umashankar,,2,
10.2139/ssrn.4845268,"Ethical AI in Information Technology: Navigating Bias, Privacy, Transparency, and Accountability",2024.0,Sargiotis,SSRN Electronic Journal,2,
10.2139/ssrn.4714345,From Policy to Practice: Prototyping The EU AI Act’s Transparency Requirements,2024.0,Gils; Heymans; Ooms; De Bruyne,SSRN Electronic Journal,2,
10.1007/978-1-4842-9982-1_3,Transparency and Explainability,2023.0,Manure; Bengani; S,Introduction to Responsible AI,2,
10.1007/978-1-4842-6206-1_8,AI and Governance,2020.0,Hechler; Oberhofer; Schaeck,Deploying AI in the Enterprise,2,
10.1007/978-3-319-31816-5_3385-1,Decision Making,2018.0,Landsbergen; Raadschelders,"Global Encyclopedia of Public Administration, Public Policy, and Governance",2,
10.36555/jasa.v5i1.1511,E-Government Integrated E-Audit System : Design And Analysis in The Internal Audit Unit of The Indonesian Government (APIP),2021.0,Hidayat,"JASa (Jurnal Akuntansi, Audit dan Sistem Informasi Akuntansi)",2,
10.1787/1afdc85e-en,Enhancing the Oversight Impact of Chile’s Supreme Audit Institution,2022.0,,OECD Public Governance Reviews,2,
10.62802/ejr09s21,Leveraging Artificial Intelligence for Public Sector Decision-Making: Balancing Accountability and Efficiency in Digital Public Services,2024.0,Söker,Human Computer Interaction,2,
10.3326/pse.43.1.1,"Introduction to the Public Sector Economics 2018 Conference - Fiscal Openness: Transparency, Participation and Accountability in Fiscal Policies",2019.0,; Ott; ; Mihaljek,Public Sector Economics,2,
10.5296/jpag.v10i2.17140,Competing Multiple Accountability Mechanisms and Public Administrators’ Responses in the Health Sector in Kenya,2020.0,Kenneth,Journal of Public Administration and Governance,2,
10.1093/oxfordhb/9780198837138.013.35,Algorithmic Accountability: Towards Accountable Systems,2020.0,Wagner,Oxford Handbook of Online Intermediary Liability,2,
10.26686/pq.v15i4.5919,Does public accountability even matter if the public sector is performing well?,2019.0,Ryan,Policy Quarterly,2,
10.4337/9781800886544.00022,Public-sector accountability: a journey from performance measurement to performance governance,2023.0,Liguori; Kelly,"Handbook of Accounting, Accountability and Governance",2,
